sim,year,species_code,ess,value,in_out
4,2014,30060,ess_f,174.80503022058747,in
4,2016,30060,ess_f,421.73675012625904,in
4,2018,30060,ess_f,390.3484808478682,in
4,2014,30420,ess_f,191.61274226626114,in
4,2016,30420,ess_f,448.0115800002529,in
4,2018,30420,ess_f,89.89111077759821,in
4,2014,10110,ess_m,668.2436916346331,in
4,2016,10110,ess_m,393.78313180763917,in
4,2018,10110,ess_m,1114.9588113108057,in
4,2014,10130,ess_m,265.6589084575505,in
4,2016,10130,ess_m,354.0729565529792,in
4,2018,10130,ess_m,168.4767682576778,in
4,2014,21720,ess_m,962.7489176606425,in
4,2016,21720,ess_m,573.6780070082311,in
4,2018,21720,ess_m,399.1083300922507,in
4,2014,21740,ess_m,143.29769482124536,in
4,2016,21740,ess_m,65.0404702909488,in
4,2018,21740,ess_m,80.35517589808745,in
4,2014,21921,ess_m,381.31296800537933,in
4,2016,21921,ess_m,84.98418678990566,in
4,2018,21921,ess_m,209.99393020409428,in
4,2014,30020,ess_m,344.35527199860377,in
4,2016,30020,ess_m,51.77683568025014,in
4,2018,30020,ess_m,26.725876123114734,in
4,2014,30060,ess_m,249.85409552321582,in
4,2016,30060,ess_m,1232.364651807983,in
4,2018,30060,ess_m,1213.4493334026579,in
4,2014,30420,ess_m,80.3082017565263,in
4,2016,30420,ess_m,228.41270426691196,in
4,2018,30420,ess_m,332.5251653700774,in
4,2014,10110,ess_t,800.8337244852722,in
4,2016,10110,ess_t,1023.2030456076675,in
4,2018,10110,ess_t,2189.8069727195093,in
4,2014,10130,ess_t,787.0058104598266,in
4,2016,10130,ess_t,611.929809158902,in
4,2018,10130,ess_t,602.9682504594887,in
4,2014,21720,ess_t,884.7585512752938,in
4,2016,21720,ess_t,1617.2907138359785,in
4,2018,21720,ess_t,812.5451483604537,in
4,2014,21740,ess_t,385.52986852189224,in
4,2016,21740,ess_t,254.2943297390809,in
4,2018,21740,ess_t,551.1840339046352,in
4,2014,21921,ess_t,608.3672018126017,in
4,2016,21921,ess_t,175.55018286940773,in
4,2018,21921,ess_t,46.12313542821734,in
4,2014,30020,ess_t,689.0756684322988,in
4,2016,30020,ess_t,190.37354411644637,in
4,2018,30020,ess_t,269.66522589623014,in
4,2014,30060,ess_t,241.85872031023456,in
4,2016,30060,ess_t,1022.6897698602378,in
4,2018,30060,ess_t,1327.5821872802562,in
4,2014,30420,ess_t,143.12278729636327,in
4,2016,30420,ess_t,628.8055659463581,in
4,2018,30420,ess_t,819.4530437303328,in
5,2014,10110,ess_f,1481.6095371357148,in
5,2016,10110,ess_f,800.6345785533485,in
5,2018,10110,ess_f,983.2661710693953,in
5,2014,10130,ess_f,780.4511087809977,in
5,2016,10130,ess_f,445.14878991577643,in
5,2018,10130,ess_f,364.8073330324234,in
5,2014,21720,ess_f,705.6968545988303,in
5,2016,21720,ess_f,589.25521635885,in
5,2018,21720,ess_f,596.4043479913099,in
5,2014,21740,ess_f,54.203717234493446,in
5,2016,21740,ess_f,214.8746431860225,in
5,2018,21740,ess_f,236.65394619615407,in
5,2014,21921,ess_f,87.01145995958507,in
5,2016,21921,ess_f,47.05428344559088,in
5,2018,21921,ess_f,557.3939763428564,in
5,2014,30020,ess_f,126.7233883142668,in
5,2016,30020,ess_f,87.52245564830069,in
5,2018,30020,ess_f,17.983035059025024,in
5,2014,30060,ess_f,114.18369194826813,in
5,2016,30060,ess_f,1385.4820651633281,in
5,2018,30060,ess_f,494.3605411341397,in
5,2014,30420,ess_f,545.5035858614997,in
5,2016,30420,ess_f,225.14681798856932,in
5,2018,30420,ess_f,241.96240145909022,in
5,2014,10110,ess_m,791.1783035078574,in
5,2016,10110,ess_m,536.7743527153763,in
5,2018,10110,ess_m,689.1457487541604,in
5,2014,10130,ess_m,394.9126762996944,in
5,2016,10130,ess_m,581.3527101900875,in
5,2018,10130,ess_m,486.9751003716713,in
5,2014,21720,ess_m,537.2899669692719,in
5,2016,21720,ess_m,840.9084660115922,in
5,2018,21720,ess_m,465.2386595480712,in
5,2014,21740,ess_m,102.03865065411787,in
5,2016,21740,ess_m,42.249298980766284,in
5,2018,21740,ess_m,87.84379159684563,in
5,2014,21921,ess_m,88.00734570636727,in
5,2016,21921,ess_m,64.195159099463993,in
5,2018,21921,ess_m,226.24499771506868,in
5,2014,30020,ess_m,304.46086043171323,in
5,2016,30020,ess_m,76.30204897572713,in
5,2018,30020,ess_m,31.56582371633699,in
5,2014,30060,ess_m,231.6069742547259,in
5,2016,30060,ess_m,539.8198696865348,in
5,2018,30060,ess_m,584.0227374915751,in
